Model,Accuracy,F1 Score
2/0,0.095892857,0.077271752
2/1,0.054642857,0.038371294
2/2,0.074285714,0.056187883
2/3,0.056607143,0.039179406
2/4,0.0625,0.042091534
2/5,0.073214286,0.054488103
2/6,0.072678571,0.055548479
2/7,0.075714286,0.054685694
2/8,0.08,0.059283082
2/9,0.053035714,0.036255886
,0.069857143,0.051336311
4/0,0.207857143,0.169212525
4/1,0.169107143,0.139470656
4/2,0.180714286,0.150703526
4/3,0.203214286,0.169647064
4/4,0.209107143,0.178689756
4/5,0.190714286,0.155693219
4/6,0.205,0.173288488
4/7,0.199821429,0.164633201
4/8,0.213392857,0.179983395
4/9,0.172321429,0.145353792
,0.195125,0.162667562
8/0,0.343392857,0.287976246
8/1,0.35625,0.295474194
8/2,0.335714286,0.276030958
8/3,0.35625,0.305605562
8/4,0.35625,0.297828861
8/5,0.336964286,0.277793741
8/6,0.36625,0.316458489
8/7,0.346071429,0.292750294
8/8,0.362678571,0.305312874
8/9,0.35375,0.286136917
,0.351357143,0.294136814
16/0,0.559464286,0.515892115
16/1,0.566607143,0.518066376
16/2,0.549107143,0.504846667
16/3,0.567142857,0.520283012
16/4,0.544821429,0.495688224
16/5,0.545357143,0.501060348
16/6,0.561428571,0.515851104
16/7,0.566785714,0.52168222
16/8,0.577857143,0.530980236
16/9,0.555535714,0.507822635
,0.559410714,0.513217293
